respuesta_id,sede,rol,puntaje_csat,comentario
SUR-00001,Cuenca,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00002,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00003,Manta,Enfermeria,1,Respuesta sintetica reproducible; sin datos personales.
SUR-00004,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00005,Cuenca,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00006,Cuenca,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00007,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00008,Guayaquil,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00009,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00010,Manta,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00011,Quito,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00012,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00013,Guayaquil,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00014,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00015,Quito,Paciente,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00016,Manta,Medico,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00017,Cuenca,Admision,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00018,Cuenca,Paciente,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00019,Quito,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00020,Cuenca,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00021,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00022,Ambato,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00023,Ambato,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00024,Quito,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00025,Guayaquil,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00026,Guayaquil,Enfermeria,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00027,Quito,Enfermeria,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00028,Guayaquil,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00029,Ambato,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00030,Cuenca,Paciente,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00031,Manta,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00032,Guayaquil,Admision,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00033,Cuenca,Medico,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00034,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00035,Quito,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00036,Cuenca,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00037,Guayaquil,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00038,Guayaquil,Farmacia,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00039,Guayaquil,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00040,Ambato,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00041,Guayaquil,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00042,Quito,Admision,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00043,Quito,Farmacia,2,Respuesta sintetica reproducible; sin datos personales.
SUR-00044,Quito,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00045,Cuenca,Admision,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00046,Cuenca,Medico,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00047,Quito,Enfermeria,5,Respuesta sintetica reproducible; sin datos personales.
SUR-00048,Quito,Farmacia,4,Respuesta sintetica reproducible; sin datos personales.
SUR-00049,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
SUR-00050,Quito,Enfermeria,3,Respuesta sintetica reproducible; sin datos personales.
