evento_id,timestamp,sede,medico_id,tiempo_segundos,completada
EVT-000001,2025-04-24T10:22:00,Quito,MED-QUI-01,7.94,1
EVT-000004,2025-05-06T10:59:00,Quito,MED-QUI-02,11.96,1
EVT-000011,2025-06-20T11:40:00,Quito,MED-QUI-03,9.93,1
EVT-000014,2025-07-02T15:52:00,Cuenca,MED-CUE-04,5.0,1
EVT-000016,2025-03-10T18:13:00,Manta,MED-MAN-05,8.76,1
EVT-000024,2025-01-14T11:06:00,Guayaquil,MED-GUA-06,13.04,1
EVT-000026,2025-04-04T10:56:00,Guayaquil,MED-GUA-07,9.67,1
EVT-000027,2025-05-18T15:44:00,Quito,MED-QUI-08,3.48,1
EVT-000031,2025-06-26T16:17:00,Cuenca,MED-CUE-09,5.69,0
EVT-000033,2025-06-09T16:58:00,Manta,MED-MAN-10,7.98,1
EVT-000034,2025-07-18T09:46:00,Guayaquil,MED-GUA-11,5.76,0
EVT-000041,2025-11-01T13:25:00,Guayaquil,MED-GUA-12,4.68,1
EVT-000044,2025-12-02T07:17:00,Ambato,MED-AMB-01,5.74,1
EVT-000047,2025-11-19T10:22:00,Ambato,MED-AMB-02,12.29,1
EVT-000048,2025-09-28T12:41:00,Guayaquil,MED-GUA-03,11.93,1
EVT-000049,2025-08-22T17:07:00,Quito,MED-QUI-04,5.28,1
EVT-000053,2025-03-24T15:09:00,Quito,MED-QUI-05,4.7,1
EVT-000054,2025-05-06T14:40:00,Quito,MED-QUI-06,8.29,1
EVT-000055,2025-01-23T18:18:00,Manta,MED-MAN-07,4.27,1
EVT-000060,2025-11-19T10:37:00,Cuenca,MED-CUE-08,11.84,1
EVT-000062,2025-06-28T15:58:00,Ambato,MED-AMB-09,5.28,1
EVT-000064,2025-05-28T08:07:00,Guayaquil,MED-GUA-10,6.15,1
EVT-000068,2025-11-06T12:53:00,Guayaquil,MED-GUA-11,12.33,1
EVT-000072,2025-07-19T16:56:00,Cuenca,MED-CUE-12,7.16,1
EVT-000073,2025-06-12T18:36:00,Quito,MED-QUI-01,4.1,1
EVT-000077,2025-12-09T14:55:00,Ambato,MED-AMB-02,5.43,1
EVT-000081,2025-09-26T10:05:00,Quito,MED-QUI-03,10.6,1
EVT-000085,2025-08-19T12:03:00,Quito,MED-QUI-04,11.88,1
EVT-000087,2025-05-24T17:53:00,Quito,MED-QUI-05,4.65,1
EVT-000089,2025-12-28T09:07:00,Quito,MED-QUI-06,10.0,1
EVT-000090,2025-07-08T11:21:00,Quito,MED-QUI-07,10.77,1
EVT-000093,2025-05-23T15:27:00,Guayaquil,MED-GUA-08,8.9,1
EVT-000094,2025-10-18T08:36:00,Guayaquil,MED-GUA-09,3.81,1
EVT-000096,2025-10-11T09:42:00,Quito,MED-QUI-10,4.73,1
